tax,fuel,aeo,scenario,value
baseline,coal,2016,reference,1192.425
baseline,natural gas,2016,reference,1293.215
baseline,wind,2016,reference,520.8
baseline,solar,2016,reference,35.585
baseline,nuclear,2016,reference,840.819
baseline,other,2016,reference,329.342
baseline,coal,2016,gas,1424.6
baseline,natural gas,2016,gas,723.5
baseline,wind,2016,gas,687.8
baseline,solar,2016,gas,63.2
baseline,nuclear,2016,gas,869.2
baseline,other,2016,gas,343.3
baseline,coal,2016,demand,1224.7
baseline,natural gas,2016,demand,1366.6
baseline,wind,2016,demand,551.1
baseline,solar,2016,demand,33.2
baseline,nuclear,2016,demand,836.2
baseline,other,2016,demand,330.8
twenty-five,coal,2016,reference,111.2
twenty-five,natural gas,2016,reference,1396.6
twenty-five,wind,2016,reference,1183.5
twenty-five,solar,2016,reference,275.9
twenty-five,nuclear,2016,reference,872.6
twenty-five,other,2016,reference,321.3
twenty-five,coal,2016,gas,166
twenty-five,natural gas,2016,gas,963.2
twenty-five,wind,2016,gas,1273.2
twenty-five,solar,2016,gas,481.2
twenty-five,nuclear,2016,gas,877.2
twenty-five,other,2016,gas,321.8
twenty-five,coal,2016,demand,112.8
twenty-five,natural gas,2016,demand,1476.7
twenty-five,wind,2016,demand,1193.2
twenty-five,solar,2016,demand,317.3
twenty-five,nuclear,2016,demand,873
twenty-five,other,2016,demand,321.2
fifty,coal,2016,reference,44.7
fifty,natural gas,2016,reference,1024.2
fifty,wind,2016,reference,1304.7
fifty,solar,2016,reference,537.9
fifty,nuclear,2016,reference,885.2
fifty,other,2016,reference,320
fifty,coal,2016,gas,47.5
fifty,natural gas,2016,gas,709.3
fifty,wind,2016,gas,1366.6
fifty,solar,2016,gas,665
fifty,nuclear,2016,gas,898.6
fifty,other,2016,gas,356.8
fifty,coal,2016,demand,44.7
fifty,natural gas,2016,demand,1078.8
fifty,wind,2016,demand,1323.8
fifty,solar,2016,demand,586.1
fifty,nuclear,2016,demand,896.7
fifty,other,2016,demand,324.2
baseline,coal,2011,reference,2059.6
baseline,natural gas,2011,reference,891.1
baseline,wind,2011,reference,246
baseline,solar,2011,reference,8.4
baseline,nuclear,2011,reference,864.9
baseline,other,2011,reference,352.5
baseline,coal,2011,gas,2214.8
baseline,natural gas,2011,gas,550.4
baseline,wind,2011,gas,265.8
baseline,solar,2011,gas,8.4
baseline,nuclear,2011,gas,864.9
baseline,other,2011,gas,429.8
baseline,coal,2011,demand,2132.2
baseline,natural gas,2011,demand,1159.1
baseline,wind,2011,demand,280.2
baseline,solar,2011,demand,8.4
baseline,nuclear,2011,demand,864.9
baseline,other,2011,demand,364.6
baseline,coal,2011,both,2313.7
baseline,natural gas,2011,both,763.5
baseline,wind,2011,both,327.5
baseline,solar,2011,both,8.4
baseline,nuclear,2011,both,866.2
baseline,other,2011,both,442.2
twenty-five,coal,2011,reference,1159.6
twenty-five,natural gas,2011,reference,1271.7
twenty-five,wind,2011,reference,260.9
twenty-five,solar,2011,reference,7.6
twenty-five,nuclear,2011,reference,905.4
twenty-five,other,2011,reference,344.9
twenty-five,coal,2011,gas,1543.9
twenty-five,natural gas,2011,gas,707.2
twenty-five,wind,2011,gas,272
twenty-five,solar,2011,gas,8.1
twenty-five,nuclear,2011,gas,984.6
twenty-five,other,2011,gas,372
twenty-five,coal,2011,demand,1204.4
twenty-five,natural gas,2011,demand,1522.6
twenty-five,wind,2011,demand,298.8
twenty-five,solar,2011,demand,8.4
twenty-five,nuclear,2011,demand,953.2
twenty-five,other,2011,demand,348.7
twenty-five,coal,2011,both,1588.1
twenty-five,natural gas,2011,both,937.4
twenty-five,wind,2011,both,310.5
twenty-five,solar,2011,both,8.4
twenty-five,nuclear,2011,both,1028.2
twenty-five,other,2011,both,372.4
fifty,coal,2011,reference,193.4
fifty,natural gas,2011,reference,1652.4
fifty,wind,2011,reference,426.8
fifty,solar,2011,reference,6.0
fifty,nuclear,2011,reference,1094.0
fifty,other,2011,reference,327.4
fifty,coal,2011,both,597.7
fifty,natural gas,2011,both,1195.7
fifty,wind,2011,both,666.4
fifty,solar,2011,both,8.4
fifty,nuclear,2011,both,1161.7
fifty,other,2011,both,342.2
